title,Adult,,,
vector-graphic?,yes,,,
objects-not-accounted-for-present?,no,,,
x-axis label,,,,
y-axis label,tdTomato+ cells (%),,,
x-axis tic labels,,,,
y-axis tic labels,0,20,40,60
legend labels,Luminal,Basal,,
legend colours or styles,black,white,,
bar chart count,2,,,
grouped by (x-value or legend-value),x-value,,,
bar-y-values,,,,
Luminal,black,45,50,
Basal,white,1,1,
,,,,
bar-y-top-conf-value,,,,
,,,,
,,,,
,,,,
bar-y-bottom-conf-value,,,,
,,,,
,,,,
,,,,
bar-x-values,2 d,8 w,,
