title,,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,no,,,,,
x-axis label,,,,,,
y-axis label,Thousands of tonnes,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,500,1000,1500,2000,2500
legend labels,crop yr 16/17,crop yr 17/18,,,,
legend colours or styles,red,blue,,,,
bar chart count,2,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
crop yr 16/17,red,1950,400,10,80,
crop yr 17/18,blue,1980,500,10,100,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
bar-x-values,Wheat,Barley,Oats,maize,,
