title,,,,,,
vector-graphic?,no,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,,,,,,
y-axis label,Distance,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,1,2,3,4,5
legend labels,,,,,,
legend colours or styles,,,,,,
bar chart count,1,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,
,,4,2,1.2,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-top-conf-value,,
,,4.5,2.2,1.3,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,
,,3.5,0.01,1.1,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,
,,SKBR3,MD-MB-231,MCF-7,,,
