title,,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,
x-axis label,Average Acceleration,,,,,,,,,,
y-axis label,Percent of User Nights,,,,,,,,,,
x-axis tic labels,,,,,,,,,,,
y-axis tic labels,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,,,
legend labels,W/O Alcohol,Alcohol,,,,,,,,,
legend colours or styles,blue,red,,,,,,,,,
bar chart count,2,,,,,,,,,,
grouped by (x-value or legend-value),legend,,,,,,,,,,
bar-y-values,,,,,,,,,,,
W/O Alcohol,blue,0,0,0,0,0,0.8,0.25,0.01,0,0
Alcohol,red,0,0,0,0,0,0.7,0.29,0.02,0,0
,,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-x-values,,
,,"[-Inf,0]","(2,4]","(6,8]","(10,12]","(14,16]",,,,,,
