title,,,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,,,,,,,,,
y-axis label,,,,,,,,,
x-axis tic labels,,,,,,,,,
y-axis tic labels,0,10,20,30,40,50,60,70,80
legend labels,Non-poor,Moderately poor,Extremely poor,,,,,,
legend colours or styles,blue,red,green,,,,,,
bar chart count,3,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,
bar-y-values,,,,,,,,,
Non-poor,blue,72,54,58,35,43,39,,
Moderately poor,red,21,35,29,37,31,30,,
Extremely poor,green,6,12,14,29,21,31,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,1980,1985,1992,1996,2004,2010,,,
