title,Mean Ozone by month,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,no,,,,,
x-axis label,,,,,,
y-axis label,,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,10,20,30,40,50
legend labels,,,,,,
legend colours or styles,,,,,,
bar chart count,1,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,
,,23,30,68,70,31,
,,,,,,
,,,,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,
,,5,6,7,8,9,
