title,,,,,,
vector-graphic?,no,,,,,
objects-not-accounted-for-present?,no,,,,,
x-axis label,Sex of student,,,,,
y-axis label,Count,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,10,20,30,40,50
legend labels,Unhealthy,Healthy,Very Healthy,,,
legend colours or styles,dark grey,grey,light grey,,,
bar chart count,3,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
Unhealthy,dark grey,34,16,,,
Healthy,grey,29,27,,,
Very Healthy,light grey,17,54,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,Female,Male,,,,
