title,"Figure 6: Migration between New Zealand and Queensland, 1 July to 30 June",,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,no,,,,,
x-axis label,,,,,,
y-axis label,Persons,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,5000,10000,15000,20000,25000
legend labels,Arrivals,Departures,Net NZ migration,,,
legend colours or styles,green,light blue,dark blue,,,
bar chart count,3,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
Arrivals,green,15500,19000,22000,,
Departures,light blue,5000,5000,5000,,
Net NZ migration,dark blue,10000,14000,16000,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,2005-06,2006-07,2007-08,,,
