title,,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
data label present?,no,,,,,
x-axis label,,,,,,
y-axis label,Cell Diameter [\mu m],,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,5,10,15,20,25
legend labels,Surgical,Naive,,,,
legend colours or styles,Purple,White,,,,
bar chart count,2,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
Surgical ,purple,17,15,,,
Naive,white,17.8,19,,,
bar-y-top-conf-value,,,,,,
Surgical ,purple,19.7,20,,,
Naive,white,20,20.5,,,
bar-y-bottom-conf-value,,,,,,
Surgical ,purple,14,10.5,,,
Naive,white,14.8,16,,,
bar-x-values,,,,,,
Surgical ,purple,Longitudinal muscle,circular muscle,,,
Naive,white,Longitudinal muscle,circular muscle,,,
