title,,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,Particle diameter,,,,,
y-axis label,Diff. Volume %,,,,,
x-axis tic labels,0-75 um,75-106 um,106-250 um,250-425 um,425-2000 um,
y-axis tic labels,0,20,40,60,80,
legend labels,Wheat straw,MSW,,,,
legend colours or styles,Black,White,,,,
bar chart count,2,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
Wheat straw,Black,1,2,7,14,75
MSW,White,48,20,18,8,4
,,,,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,0-75 um,75-106 um,106-250 um,250-425 um,425-2000 um,
