title,,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,b.m.e.p. (bar),,,,,
y-axis label,Carbon Monoxide (ppm),,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,20,40,60,80,100
legend labels,10% Ethanol,5% Ethanol,Diesel,,,
legend colours or styles,squares,stripes,blank,,,
bar chart count,3,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
10% Ethanol,squares,83,48,63,,
5% Ethanol,stripes,83,44,60,,
Diesel,blank,80,44,58,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,3.56,7.04,10.52,,,
