title,Outgrowths (%),,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,,,,,,
y-axis label,Fold increase in repopulating cells,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,1,2,3,4,5,6
legend labels,,,,,,
legend colours or styles,,,,,,
bar chart count,1,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,
,,1,1,1,4,,
,,,,,,
,,,,,,
,,,,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,,
,,Placebo,E2,Pg,E2+Pg,,
