title,,,,
vector-graphic?,no,,,
objects-not-accounted-for-present?,yes,,,
x-axis label,,,,
y-axis label,Distance,,,
x-axis tic labels,,,,
y-axis tic labels,0,1,2,3
legend labels,,,,
legend colours or styles,,,,
bar chart count,1,,,
grouped by (x-value or legend-value),x-value,,,
bar-y-values,,
,,2.4,1.8,1.2,
,,,,
,,,,
,,,,
bar-y-top-conf-value,,
,,2.6,2,1.4,
,,,,
,,,,
,,,,
bar-y-bottom-conf-value,,
,,2.2,1.6,1,
,,,,
,,,,
,,,,
bar-x-values,,
,,no mismatch,One base,Two base,
