title,Figure 3: Average number of roses per plant by litres of fertiliser,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,no,,,,,
x-axis label,Litres of fertiliser applied,,,,,
y-axis label,Average number of roses per plant,,,,,
x-axis tic labels,0,1.5,2,2.5,3,
y-axis tic labels,0,10,20,30,40,50
legend labels,,,,,,
legend colours or styles,,,,,,
bar chart count,1,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
,,20,31,32,47,,
,,,,,,
,,,,,,
,,,,,,
bar-y-top-conf-value,,,
,,21,32,33,49,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,
,,19,30,31,45,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,,
,,0,1.5,2,2.5,3,
