title,Genomic Distance,,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,,,,,,
y-axis label,Genomic distance (d2) between FISH probes,,,,,
x-axis tic labels,,,,,,
y-axis tic labels,0,20,40,60,80,100
legend labels,"Intra-domain
Hoxb cluster","Inter-domain
Hoxd cluster",,,,
legend colours or styles,magenta,blue,,,,
bar chart count,2,,,,,
grouped by (x-value or legend-value),legend,,,,,
bar-y-values,,,,,,
"Intra-domain Hoxb cluster",magenta,88,,,,
"Inter-domain Hoxd cluster",blue,93,,,,
,,,,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,,,,,
