title,,,,,
vector-graphic?,yes,,,,
objects-not-accounted-for-present?,no,,,,
x-axis label,Month,,,,
y-axis label,Number of houses sold,,,,
x-axis tic labels,,,,,
y-axis tic labels,76,77,78,79,80
legend labels,,,,,
legend colours or styles,,,,,
bar chart count,1,,,,
grouped by (x-value or legend-value),x-value,,,,
bar-y-values
,,77,79,78,,
,,,,,
,,,,,
,,,,,
bar-y-top-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-y-bottom-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-x-values,January,February,March,,
