title,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,Country,,,,,,,,,
y-axis label,No of Tourists,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,"1,000,000","2,000,000","3,000,000","4,000,000","5,000,000","6,000,000",,,,
legend labels,,,,,,,,,,
legend colours or styles,,,,,,,,,,
bar chart count,1,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,
,,100000,600000,1500000,5500000,2200000,3700000,1000000,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,,
,,Myanmar,Cambodia,Indonesia,Malaysia,Singapore,Thailand,Vietnam,,,
