title,,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,
objects-not-accounted-for-present?,yes,,,,,,,,,,
x-axis label,Deciles of nodes ordered by degree,,,,,,,,,,
y-axis label,Percent of nodes from walk,,,,,,,,,,
x-axis tic labels,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,
y-axis tic labels,0,5,10,15,20,25,30,35,40,,
legend labels,0 incomining links from search engines per page,3 incomining links from search engines per page,,,,,,,,,
legend colours or styles,Dark Grey,Grey,,,,,,,,,
bar chart count,2,,,,,,,,,,
grouped by (x-value or legend-value),Legend,,,,,,,,,,
bar-y-values,,,,,,,,,,,
0 incomining links from search engines per page,Dark Grey,24,9,10,8.5,8.5,7.6,7.6,7,7,7.8
3 incomining links from search engines per page,Grey,19,8.6,8.5,8.5,8.3,11,7.6,9,8.7,11
bar-y-top-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-x-values,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,
