title,,,,,
vector-graphic?,yes,,,,
objects-not-accounted-for-present?,yes,,,,
x-axis label,,,,,
y-axis label,Boundaries with mark < 20Kb,,,,
x-axis tic labels,,,,,
y-axis tic labels,0,500,"1,000",1500,"2,000"
legend labels,Observed,Expected (random),,,
legend colours or styles,lilac,grey,,,
bar chart count,2,,,,
grouped by (x-value or legend-value),x-value,,,,
bar-y-values,,,,,
Observed,lilac,1600,670,20,
Expected (random),grey,850,280,10,
,,,,,
bar-y-top-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-y-bottom-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-x-values,CTCF,Housekeeping genes,tRNA genes,,
