title,National Poverty Incidence 2003/2004 and 2009/2010,,,,
vector-graphic?,yes,,,,
objects-not-accounted-for-present?,no,,,,
x-axis label,,,,,
y-axis label,,,,,
x-axis tic labels,,,,,
y-axis tic labels,,,,,
legend labels,2004,2010,,,
legend colours or styles,blue,red,,,
bar chart count,2,,,,
grouped by (x-value or legend-value),x-value,,,,
bar-y-values,,,,,
2004,blue,33.6,54.7,54.4,51.6
2010,red,41,60.9,69,61.2
,,,,,
bar-y-top-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-y-bottom-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-x-values,Food Poor,Absolute Poor,Relative Poor,Dollar Per Day,
