title,Observed Interaction (Q),,,,,
vector-graphic?,yes,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,Observed Interaction (Q),,,,,
y-axis label,P (Verbal cooperation|Q),,,,,
x-axis tic labels,0,0.2,0.4,0.6,0.8,1
y-axis tic labels,,,,,,
legend labels,Non recip.,Recip.,,,,
legend colours or styles,Pink,Yellow,,,,
bar chart count,3,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,,,,,
Non recip.,Pink,0.8,0.65,0.7,0.68,
Recip.,Yellow,0.85,0.63,0.68,0.58,
bar-y-top-conf-value,,,,,,
Non recip.,Pink,0.9,0.7,0.8,0.7,
Recip.,Yellow,0.9,0.68,0.7,0.62,
bar-y-bottom-conf-value,,,,,,
Non recip.,Pink,0.78,0.62,0.66,0.65,
Recip.,Yellow,0.83,0.61,0.66,0.56,
bar-x-values,Verbal cooperation,Material Cooperation,Verbal Conflict,Material Conflict,,
