title,,,,,
vector-graphic?,yes,,,,
objects-not-accounted-for-present?,no,,,,
x-axis label,,,,,
y-axis label,,,,,
x-axis tic labels,0,20,40,60,80
y-axis tic labels,,,,,
legend labels,frequency,percentage,,,
legend colours or styles,blue,red,,,
bar chart count,,,,,
grouped by (x-value or legend-value),x-value,,,,
bar-y-values,,,,,
frequency,blue,44,15,6,5
percentage,red,66,18,8,6
,,,,,
bar-y-top-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-y-bottom-conf-value,,,,,
,,,,,
,,,,,
,,,,,
bar-x-values,AIDP,AMAN,AMSAN,A & D,
