title,Rate of Return (%),,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,
x-axis label,Period,,,,,,,,,,
y-axis label,,,,,,,,,,,
x-axis tic labels,,,,,,,,,,,
y-axis tic labels,0,5,10,15,20,25,30,35,40,180,200
legend labels,Tri-Continental Co.,DJIA,S&P 500,,,,,,,,
legend colours or styles,red,coral,grey,,,,,,,,
bar chart count,3,,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,,
bar-y-values,,,,,,,,,,,
Tri-Continental Co.,red,16.8,13.2,11,12.8,19.8,12,36.9,,,45
DJIA,coral,11.5,10.9,9.6,11.3,18.5,15.4,27.2,,,71
S&P 500,grey,12.3,11.6,10.2,11.7,17.4,14.7,31,,,
bar-y-top-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-x-values,50 years,40 years,30 years,20 years,10 years,5 years,1 year,,,,
