title,"Table 5 Cluster bar chart of practitioners by
number of treatments over the 4 week
period",,,,,,,
vector-graphic?,yes,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,
x-axis label,"Number of treatments given by practitioners
over the four week period",,,,,,,
y-axis label,Number of practitioners,,,,,,,
x-axis tic labels,,,,,,,,
y-axis tic labels,0,20,40,60,80,100,120,140
legend labels,,,,,,,,
legend colours or styles,,,,,,,,
bar chart count,1,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,
bar-y-values,,,
,,95,123,96,82,53,97,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bar-y-top-conf-value,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bar-x-values,,
,,20,21-40,41-60,61-80,81-100,100+,,
